Category,Skill,Level
Computer Literacy,"MS Office, Google Docs, Sheets, Forms, Sites, video/audio editing",9
Data Analysis,"Python, MS Excel, Google sheets, Google Looker Studio, data flow/reporting/automation",9
Field/lab,"Sample collection, navigation, using geological maps, mapping",8
Field/lab,"Geophysics: GPS, GPR, seismological station, electrical prospecting equipment, gravimetric units, magnetometer and radiometer",8
Field/lab,"Glaciology: Glacier mass balance measurements (stake), hot water drilling",8
Field/lab,"Hydrology: EC, data loggers",7
Academic,Physics,7
Project Management,"Project planning, team collaboration, communication, international event organization",6
Academic,"Calculus, ODE, Statistics",6
Modeling and Simulation,"GPR: REFLEX-W; Hydrology: HEC-RAS, HBV, GMS; Photogrammetry: FMIPROT",6
MAIT,"Smelting, injection die casting, mechanical assembly, plumbing, drilling, angle grinding, soldering",6
Design,"CAD: SolidWorks, Siemens NX",6
Data Analysis,"Geospatial and remote sensing: ArcGIS, QGIS, SNAP (Sentinel)",5
Design,Altium Designer,5
Programming,C/C++,4
Modeling and Simulation,Numerical Modeling,3
Programming,Python,
Programming,MATLAB,
Programming,Simulink,